player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Damion Lee,leeda03,2023,RS,PHO,3173,1506,-.7603870822714573,.1011065893331236,-.6592804929383338,-2.258521777032412,3.562479444264831,1.303957667232419,-1.130797338894586,.8108332284930372,-.3199641104015488,1.867464515918909,1.867464515918909,0,-1.528758154029461,.478978733100253,-1.049779420929208,.0172565559939227
Saben Lee,leesa01,2023,RS,PHO,785,363,-1.314514326391297,.2262651592400243,-1.088249167151273,-7.625778680374304,2.674924918851577,-4.950853761522726,-2.718251064166585,.7282236023541473,-1.990027461812438,.1408340537998135,.1408340537998135,0,-2.98117140981169,.6703238884389823,-2.310847521372708,.0610726970169018
Saben Lee,leesa01,2023,RS,PHI,20,10,-.9488006096662025,-2.467487825899709,-3.416288435565912,5.47629924731052,2.540613873293917,8.016913120604437,.2850709305164809,-1.550724493475364,-1.265653562958883,.0081726999709501,.0081726999709501,0,5.523191786997717,-3.720998329816677,1.80219345718104,7.990927623643923
Alex Len,lenal01,2023,PO,SAC,118,54,-3.79382006657591,.2399681064826578,-3.553851960093253,10.72606634536444,6.265521101925542,16.99158744728998,-.9823145379243194,1.484582200445396,.5022676625210769,.093410652573975,0,.093410652573975,-2.203057516052696,-.3494425482107894,-2.552500064263486,1.062833378124433
Alex Len,lenal01,2023,RS,SAC,364,161,-4.781861098821227,3.691803878656729,-1.090057220164498,-5.389400177731752,7.662891908514458,2.273491730782705,-5.245676963653914,4.774367242898743,-.4713097207551709,.1891709523934965,.1891709523934965,0,-4.889487733654384,1.96890900747769,-2.920578726176694,1.075425201658
Kawhi Leonard,leonaka01,2023,PO,LAC,167,80,11.00393000584784,-3.497010501054561,7.506919504793281,1.572283676243023,-.2957331101269643,1.276550566116059,9.565024401284097,-2.945469767673056,6.619554633611041,.3923325751150148,0,.3923325751150148,5.984065342716892,-3.113961269865445,2.870104072851447,-.5209860313805829
Kawhi Leonard,leonaka01,2023,RS,LAC,3593,1748,4.253528737413546,1.974116693016012,6.227645430429559,5.054738107465917,1.987396269769946,7.042134377235863,4.682094731407617,2.08737656678262,6.769471298190237,8.44422274186965,8.44422274186965,0,4.434037221277294,2.004470236420981,6.438507457698275,-.5412256241063061
Meyers Leonard,leoname01,2023,PO,MIL,11,5,-14.80162052241582,19.85906363429903,5.057443111883209,6.412489329873805,-3.59969090158983,2.812798428283975,-11.30571757237303,16.29786343048943,4.992145858116398,.0200837717727361,0,.0200837717727361,-9.719502835460215,8.236190052184165,-1.48331278327605,-1.380752107002446
Meyers Leonard,leoname01,2023,RS,MIL,245,114,-1.205812636058264,-6.753868657823014,-7.959681293881278,.4015902491102233,-9.49577195034156,-9.094181701231337,-.9339516443064165,-7.759673437021947,-8.693625081328364,-.3472711977190183,-.3472711977190183,0,.1203176620868109,-3.992194668204928,-3.871877006118117,.4593647169765323
Caris LeVert,leverca01,2023,PO,CLE,333,170,.667466730085791,-.6188276888984919,.0486390411872991,-5.537408873933612,-1.491744180491027,-7.029153054424639,-.4518765210159376,-.9254652239979931,-1.377341745013931,.1237978516490089,0,.1237978516490089,-2.300597233360489,-1.057203321286806,-3.357800554647295,.8078808200577159
Caris LeVert,leverca01,2023,RS,CLE,4547,2237,.1643116448688343,1.703409570670952,1.867721215539786,-2.539745319469965,2.538978720372684,-.0007665990972803,-.4077671597455465,1.93007590344348,1.522308743697934,4.877239275836737,4.877239275836737,0,-.0486051384749097,2.273837982328402,2.225232843853492,.0244045148655958
Kira Lewis Jr.,lewiski01,2023,RS,NOP,498,235,.5291153966663208,-1.648586052084324,-1.119470655418004,1.33477688854344,3.726136069727003,5.060912958270443,.734896352447358,-.6401497436321086,.0947466088152493,.339978604584705,.339978604584705,0,-.4743217026959315,-1.124890163664422,-1.599211866360353,-.3249222166850471
Damian Lillard,lillada01,2023,RS,POR,4380,2107,9.439889369621437,-1.457359935152629,7.982529434468808,5.710041227995767,-1.205179540769017,4.50486168722675,9.275755422100316,-1.458993068675472,7.816762353424844,11.5214873917721,11.5214873917721,0,9.305819763212732,-1.442715379350255,7.863104383862477,1.442221672782797
Nassir Little,littlna01,2023,RS,POR,2024,976,-1.990457737453095,-2.451976080191883,-4.442433817644979,-.7448831597211839,-3.950110862882625,-4.694994022603809,-1.855679693249157,-2.865478864962025,-4.721158558211182,-.97485128851479,-.97485128851479,0,-2.097752581195562,-3.115020713410978,-5.21277329460654,-.6886986401009959
Isaiah Livers,liveris01,2023,RS,DET,2485,1199,-2.48767069308319,.0595887688478747,-2.428081924235316,-1.222140193510249,.2215622835274519,-1.000577909982797,-2.355673865423515,.1570013069822291,-2.198672558441285,.335104295771019,.335104295771019,0,-2.668145870107774,-.7226667916006201,-3.390812661708394,-.6461696480325108
Kenneth Lofton Jr.,loftoke01,2023,PO,MEM,26,12,-5.153887009700512,9.644927694660812,4.4910406849603,-24.14118570692364,7.163391905986514,-16.97779380093712,-9.264299330922125,9.629137078628618,.3648377477064937,.0197671443528571,0,.0197671443528571,-11.21815149717746,2.458946318345625,-8.759205178831838,.49437952632238
Kenneth Lofton Jr.,loftoke01,2023,RS,MEM,367,176,1.009463008771582,-6.679978020602971,-5.670515011831389,-5.217943271422337,-5.668320073867378,-10.88626334528972,-.2434776147084939,-6.916199193123958,-7.159676807832453,-.3960782391484245,-.3960782391484245,0,-.8246806407598202,-5.158794515459383,-5.983475156219203,.0281486372272856
